userName,score,at,content
OPAJUNIOR SAVE,5,2026-04-29 15:55:41,"NIH BINTANG 5 BUAT APLIKASI UNTUK MEMPERSULIT DIRI, 1. SMS Otentivikasi Tidak bisa 2. Mau Ganti no HP tidak ada fiturnya 3. Aplikasi yang hanya bisa digunakan tuk satu orang, 4. Aplikasi hanya untuk orang berduit kasihan bagi orang yang tidak memiliki HP."
Agung Gumilar,5,2026-04-29 15:43:27,ok
Agustinus Minggu,5,2026-04-29 15:38:52,terbaik
Beni Sabrizal,5,2026-04-29 15:30:48,"sangat ramah petugas pelayanan keliling nya yg berlokasi di MTQ,pekanbaru ,Riau"
Rohadi Hadi,5,2026-04-29 15:24:23,mantap aplikasi
Has Mita,1,2026-04-29 15:24:19,"banyak kendala pada aplikasinya akun Jkn selalu log out sendiri, mencoba login kembali suda tdk bisa krna email dan nomor hp akun lama suda tidak dipakai. suda mencoba di pengaduan whatsapp tapi tidak ada solusi apa apa yang di kasih. sampai sekarang masi belum bisa login."
Rozi Muhammad,5,2026-04-29 15:18:27,good
Desi Rizki,5,2026-04-29 15:11:44,sangat membantu
Indah Sila,1,2026-04-29 15:03:48,"sulit sekali mau login . kode otp tidak masuk"". dikondisi terdesak log out sendiri . susah loginnya . mohon segera ditindak lanjuti aplikasinya ."
Novi Bahrotul,1,2026-04-29 15:03:19,"aku akan ganti rating kalau udah bisa otp pakai whatsapp. soalnya otp pake sms itu susah wooy, perlu pulsa. dan sekarang jarang yang pake pulsa harus beli dulu. kalau bisa kedepannya bikin opsi pakai sms atau bisa pakai whatsapp"
Agung Septyan,1,2026-04-29 15:02:15,"ngga guna, sudah dipercepat dan membayar bulan yang nonaktifnya untuk aktifkan karna butuh untuk secepatnya, malah gagal tunggu awal bukan, pemerintah makin tidak berguna"
Dimas wahyu,5,2026-04-29 15:01:28,nice mantep
Netizen Zavage,1,2026-04-29 14:54:18,"aplikasi tolol, daftar awal pakek no 1 gagal ngirim otp harus ada pulsa pakek no 2 yg ada pulsa masuk otp langung pendaftaran berhasil. sekarang mau rubah data malah yg terdaftar no hp yg 1 lagi."
Inoy,5,2026-04-29 14:53:35,bagus
Rustam Simon,5,2026-04-29 14:46:07,good
Said Kian,5,2026-04-29 14:42:11,"y, bgus"
CYBER NUSANTARA,5,2026-04-29 14:38:30,proses ny cepat
Ar Zenall,1,2026-04-29 14:28:56,"jelek,selalu out sendiri pdhal gk fi pake,udh log in pake pulsa kurang efktif"
Rodin Husen,2,2026-04-29 14:24:10,"aplikasi bobrok, udah isi pulsa buat kirim otp sms, tapi selalu gagal. udah coba 20 kali kirim otp sms tapi gagal tidak muncul otp. gini amat mau berobat di bikin ribet, anehhh"
Morieti 1914,1,2026-04-29 14:14:08,payah
Anjing Bagong,1,2026-04-29 14:08:25,verivikasi nya susah
Eko Yunianto,1,2026-04-29 14:00:20,aplikasi kerek
Alfi Safitri,1,2026-04-29 13:57:53,"aplikasi jelek, cuma nunggu verifikasi auto debit sampe berhari-hari ga ada sms ataupun WhatsApp"
Mas Tri,5,2026-04-29 13:56:59,mempermudah
Taufik Ngokhz,1,2026-04-29 13:48:29,"yang katanya aplikasi nya membantu dan lebih mudah. mudah apanya, aku udah pakai nomor malah ga ada kode verifikasi,sms ga masuk. pakai email sama juga...."
Donna Elika,1,2026-04-29 13:46:55,aplikasinya gimana ini tolong diperbaiki dong....nggak bisa login padahal NIK sudah benar..password sudah benar....tp selalu dibilang katanya keliru..gliran mau ganti password juga ga bisa karena kode OTP gk masuk lwt SMS ..pakai email juga tdk bisa...solusinya dong....aplikasi hrusnya mempermudah..ini malah bikin makin ribet sumpahh
Indra Jaya,5,2026-04-29 13:35:47,👍👍👍👍
Yuda Hysteria,1,2026-04-29 13:22:26,"Daftar, tapi Kode sms otp gaa di kirim""... udah coba ganti"" nomor yg lain...Padahal pulsa jg masih ada... Gaa sistem BPJS'nyaa gaa aplikasinya Parahhh nii,,,"
